name,link,image,price,soldOut,state,region,category,taxType
[서울특별시] 노랑풍선시티버스(전통문화코스) 성인 탑승권,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-18046-1001001?SCH_goods_category_serial=%7E1001001&SCH_goods_group=M08&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_00ea030f9f7227e0aab594498e8d.jpg,"20,000 P",FALSE,서울특별시,본청,관광서비스,C
[서울특별시] 한강유람선/여의도/한강투어크루즈,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17486-1001001?SCH_goods_category_serial=%7E1001001&SCH_goods_group=M08&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_51ebb8b4e0e1cf65ebd4f63cefe9.jpg,"16,900 P",FALSE,서울특별시,본청,관광서비스,C
[서울특별시] 한강유람선/여의도/달빛뮤직크루즈(19:30),https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17489-1001001?SCH_goods_category_serial=%7E1001001&SCH_goods_group=M08&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_6285e836cffcf4d248f796da1a53.jpg,"29,900 P",FALSE,서울특별시,본청,관광서비스,C
[서울특별시] (도심고궁남산코스) 서울시티투어버스 일일탑승권,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17380-1001001?SCH_goods_category_serial=%7E1001001&SCH_goods_group=M08&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_1cd06053e5c814f6e0330ab07d81.jpg,"20,000 P",FALSE,서울특별시,본청,관광서비스,C
[서울특별시] N서울타워 전망대 2인 입장권,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17472-1001001?SCH_goods_category_serial=%7E1001001&SCH_goods_group=M08&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_afda5e0ba8322c311017f5bef180.jpg,"30,000 P",FALSE,서울특별시,본청,관광서비스,C
[서울특별시] 황실배 선물세트,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17474-1001001?SCH_goods_category_serial=%7E1001001&SCH_goods_group=M01&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_9505a8b9538e82399092d5b4057e.jpg,"30,000 P",FALSE,서울특별시,본청,농축산물,A
[서울특별시] 경복궁쌀 10kg,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17636-1001001?SCH_goods_category_serial=%7E1001001&SCH_goods_group=M01&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_b9ed9e94675f661cf32fc0c9f807.jpg,"29,500 P",FALSE,서울특별시,본청,농축산물,A
[서울특별시] 경복궁쌀 20kg,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17449-1001001?SCH_goods_category_serial=%7E1001001&SCH_goods_group=M01&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_2a3afad05b76061949f347269940.jpg,"59,000 P",FALSE,서울특별시,본청,농축산물,A
[서울특별시] 경복궁 자경전 꽃담 스카프 낱개,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17505-1001001?SCH_goods_category_serial=%7E1001001&SCH_goods_group=M05&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_14bce7deaa15a2be1858e4523de2.jpg,"20,000 P",FALSE,서울특별시,본청,생활용품,C
[서울특별시] 경복궁 자경전 꽃담 스카프 set,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17379-1001001?SCH_goods_category_serial=%7E1001001&SCH_goods_group=M05&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_fdb4117f0b71c51e94a0faff49f4.jpg,"30,000 P",FALSE,서울특별시,본청,생활용품,C
