name,taxType,link,image,price,soldOut
"[영암군] 저탄소 유기농쌀 잡곡세트(보리쌀 1kg, 홍미 1kg, 찰흑미 1kg)",A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-12425-1013016,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_8d8796767138cbd36e37ca394baf.jpeg,"20,000 P",FALSE
"종지합, 꽃잎접시",C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-18453-1015006,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_96e91527fcf033481d3fcfc79818.jpg,"14,000 P",FALSE
[강원 철원]동철원농협 철원고향찹쌀,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-12784-1009014,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_cc4d0e6870ed2855c2d3597bd6e6.jpg,"18,000 P",FALSE
(충남 예산) 불원표고버섯농장,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4492-1011014,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_479894891972ea883bc42793babd.jpg,"12,000 P",FALSE
녹차,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-11840-1013004,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_034062d0294eeec81eadfcb76296.jpg,전화문의,FALSE
[대전 동구] 전통주 선물세트 (석로주+자자헌주+벗이랑) (석이원주조 약주 청주 탁주),C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-15694-1006002,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_ad28e6ef46a4154e53ddc1f8bb68.jpg,"60,000 P",FALSE
[서충주농협]달래강청정 찰수수 1kg,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-15627-1010003,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_5efbab03fdbcf5bb32ca76a58882.jpg,"11,100 P",FALSE
프레샤인 충주사과 선물세트 5kg / 15-17입,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-18688-1010001,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_d8d2d1f5ef4088be6d6df2d2e881.jpg,"30,000 P",FALSE
[전라남도 본청] 여수복멸치 바다햇살2종 선물세트,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-13687-1013001?tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_974d402307c90a638759aebd3732.jpg,"30,000 P",FALSE
순순순 베리와피그 무화과쨈 세트,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-16614-1013004?tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_c86243e2d2cb02963c45a6653dce.jpg,"22,000 P",FALSE
[목포] 해상케이블카 탑승권,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-6578-1013002?tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_dd55506bf98dd3f759da4186e812.jpg,"13,000 P",FALSE
고추냉이 와사비아 차 세트 (2개입),C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-16712-1009006?tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_ff7de9621f9722725e30dcdc9fbb.jpg,"33,000 P",FALSE
[전북 고창군] 명작복분자주 기획세트 (국순당 고창명주),C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-13383-1012014?tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_927f78e93d1fdea4f3e347aa3b8e.jpg,"25,000 P",FALSE
영천별빛한우-영천축산농협 한우프라자 선물세트,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-8557-1014001?tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_64f0491e3798449e4083396b124e.jpg,"60,000 P",FALSE
나비쌀 10kg,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-16353-1013018?tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_421633849a8d44109c74b3021cfd.jpg,"30,000 P",FALSE
[전라남도 본청] 죽향41 골드,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-2671-1013001?tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_c3f03926bd1316e64da9c92ceba7.jpg,"35,000 P",FALSE
